图片链接(点击核对),茶记标题,教师标签(类型 | 描述),"专家批注(对则留空,错则写正确口径)",序号
https://puer.im/uploads/evernote/ff6655333c11.jpg,7542经典,版面 | 白色棉纸包装，上方印有红色“云南七子饼茶”字样，中间为红色八中茶商标，下方印有“中国西双版纳勐海茶业有限责任公司”，右侧贴有手写“97中茶青饼”的红色标签，包装边缘有磨损和黑色茶渍。,,1
https://puer.im/uploads/evernote/dddbe4823a3d.jpg,7542经典,饼面 | 深黑褐色紧压茶体，条索清晰粗壮，中间有凹陷，色泽黑褐间杂红褐。,,2
https://puer.im/uploads/evernote/b8191ca6898d.jpg,7542经典,饼面 | 饼面呈圆饼状，条索紧结色泽黑褐夹杂黄褐，饼面下方嵌有一张印有红色圆形图案的泛黄方形内飞。,,3
https://puer.im/uploads/evernote/6ba645ba9563.jpg,7542经典,版面 | 白色棉纸印有红色“云南七子饼茶”及“益”字商标，边缘有虫蚀破损露出黑茶，置于深色木架上。,,4
https://puer.im/uploads/evernote/05f52fb9eb07.jpg,7542经典,版面 | 灰色棉纸包装，印有红色“易昌号”及环绕文字，中央有绿色“茶”字及红色圆圈印章，上方贴有红色长条标签，外覆透明塑料膜，置于红色背景上。,,5
https://puer.im/uploads/evernote/c2b24ff93109.jpg,酽净嘴馋方案,其他 | 绿色背景上列有黑色文字的1800元普洱茶套餐清单及购买说明，带有puer.im水印。,,6
https://puer.im/uploads/evernote/55f0cec6761b.jpg,酽净嘴馋方案,其他 | 绿底黑字文本，列出了900元套餐包含的501/7542、301南糯珍藏、01勐海红印春尖等普洱茶样茶各10克。,,7
https://puer.im/uploads/evernote/626d1a1e7ed0.jpg,酽净嘴馋方案,其他 | 绿色背景黑色文字，列出了600元套餐包含的五组普洱茶品名（如501/7542、03下关美术字等）及规格（各10克）。,,8
https://puer.im/uploads/evernote/22267b4aba0d.jpg,酽净嘴馋方案,其他 | 绿色背景图片，黑色文字详细列出了300元套餐的5种普洱茶组合（如7542、8653、易武古树等）各10克，带有puer.im水印。,,9
https://puer.im/uploads/evernote/1e7e7c972381.jpg,2000易昌号三款,版面 | 三饼茶并排，外包棉纸呈米黄色且显陈旧，印有红色环绕文字及中央绿色“茶”字，可见“易昌号”字样，纸面有虫眼与磨损痕迹。,,10
https://puer.im/uploads/evernote/6144d06bc6d5.jpg,2000易昌号三款,"其他 | 白底界面左侧显示黑色“估价”二字，右侧显示红色“RMB 8,000-12,000”字样。",,11
https://puer.im/uploads/evernote/0b3d2aece505.jpg,滑竹梁子南糯山尝尝2020年的新茶,其他 | 图中展示了多款牛皮纸色和银色的袋装普洱茶样（标签可见易武古树2004、南糯山等），前方平铺着印有“观自在藏茶”字样的白色与米色长条折页。,,12
https://puer.im/uploads/evernote/6526fdccc2f0.jpg,滑竹梁子南糯山尝尝2020年的新茶,叶底 | 白碗中盛放着舒展的叶底，叶片呈黄绿色至墨绿色，条索肥厚完整，可见明显芽头。,,13
