pool 16344, b1 306, b2 done 8, this batch 200, workers 4
[4/200] 4bb437087b37.jpg: 汤色 | 深橙色透亮。
[5/200] 6fbcfbe83149.jpg: 汤色 | 品茗杯中盛有红浓茶汤，表面可见明显黑色絮状悬浮物。
[2/200] 08be308f7383.jpg: 汤色 | 白瓷品茗杯中茶汤呈红浓明亮色泽。
[6/200] f6794399c82d.jpg: 饼背 | 白色棉纸背面印有红色产品参数及条形码，清晰可见2009年6月2日生产日期，纸面有褶皱及褐色茶渍。
[7/200] 5e8e2029ffc6.jpg: 其他 | 四个红色方形铁盒底部贴有白色标签，注明品名为润道普洱紧压茶（熟茶），净含量30g，生产日期涵盖2019
[3/200] 2f634a755e72.jpg: 汤色 | 品茗杯中盛有深橙红色茶汤，杯底可见黑色茶末沉淀，汤面明亮。
[8/200] d00cdf8441f4.jpg: 汤色 | 橙黄明亮茶汤，盛于青花品茗杯中，杯底可见少量茶渣沉淀，液面边缘有气泡。
[9/200] 046ea35a46ce.jpg: 汤色 | 玻璃公道杯中茶汤呈橙红色，清澈透亮。
[10/200] 1d7aaca2a3fa.jpg: 汤色 | 玻璃公道杯中盛有橙黄透亮的茶汤。
[1/200] 41c3f760b89c.jpg: 汤色 | 玻璃公道杯中茶汤呈橙红色，清澈透亮。
[12/200] 76e27045efa0.jpg: 版面 | 白色包装纸印有红色书法大字及红黄绿配色的山水图案，标注有“弯公社”、“80”周年标识及“普洱茶（生茶）
[15/200] cf9a91bceba4.jpg: 版面 | 棉纸包装，上方环绕红色“易武正山古茶饼”字样，中央印有古人图案及红色方形印章，下方为黑色“鸿庆号”及底
[14/200] 64fec50b3fea.jpg: 饼面 | 条索紧结呈黑褐色，夹杂少量黄白芽头，中心凹陷。
[11/200] 275ac64b5ec8.jpg: 汤色 | 青瓷品茗杯中茶汤呈红浓明亮，杯底可见黑色沉淀物。
[16/200] 4b1c19a49482.jpg: 汤色 | 白瓷品茗杯中盛有红浓明亮的茶汤。
[13/200] d75bbbd6b7d3.jpg: 汤色 | 品茗杯中盛有红浓明亮的茶汤，杯底可见黑色茶屑沉淀。
[17/200] 333c18b5adc8.jpg: 饼背 | 七片茶饼背面朝上，米黄色棉纸呈放射状折叠包裹，边缘透出黑褐色紧结茶体，部分中心可见红色圆圈印记。
[20/200] 2e5f36a1a796.jpg: 汤色 | 玻璃公道杯中盛有橙红色的茶汤，清澈透亮。
[21/200] e8ac35c90732.jpg: 叶底 | 紫砂壶内深褐色叶底已充分舒展，色泽油润。
[18/200] 369a3b03630d.jpg: 饼面 | 茶饼条索紧结，色泽黑褐油润，侧边压制紧实。
[22/200] f0e7916df5dc.jpg: 叶底 | 叶底呈墨绿及黄绿色，叶片舒展肥厚，可见褐色茶梗。
[19/200] d540a1b853e8.jpg: 汤色 | 玻璃公道杯中茶汤呈红浓明亮色，边缘泛红棕，透光可见。
[24/200] 0dd2a6641a7f.jpg: 汤色 | 玻璃锤纹杯中茶汤呈浅黄色，明亮。
[25/200] 9badd083c8f4.jpg: 饼面 | 条索紧结，色泽黑褐，间杂少量金毫。
[23/200] 73901df5f6c2.jpg: 汤色 | 玻璃公道杯中盛有橙红色茶汤，清澈透亮。
[28/200] 13c391260300.jpg: 汤色 | 玻璃公道杯中盛有深红色茶汤，透光透亮。
[26/200] b770dbc66677.jpg: 其他 | 五个白色自封袋平铺，袋身贴有牛皮纸标签，手写标注“10布朗古熟”、“05易武”等茶名。
[27/200] 34bc7097da4e.jpg: 饼面 | 饼面条索紧结，色泽黑褐间杂浅黄芽头，中央嵌有白底蓝字内飞。
[29/200] 31cb2117958a.jpg: 叶底 | 白瓷碗内叶底呈黑褐色，条索紧结，色泽油润。
[31/200] 388950753f8f.jpg: 饼面 | 黑褐色紧结条索间杂褐黄色泽，上方嵌有圆形白底褐字内飞。
[32/200] 0a483e1ed3ab.jpg: 汤色 | 品茗杯中茶汤呈橙黄色明亮，杯底可见少量茶末沉淀。
[34/200] 81348e70fb4e.jpg: 汤色 | 茶汤呈红褐色，明亮，杯底有少量沉淀。
[30/200] d93d599cd4cf.jpg: 饼面 | 茶饼侧立，条索紧结，色泽墨褐显银毫。
[35/200] 2d9262f51a34.jpg: 汤色 | 白瓷品茗杯中茶汤呈橙黄色，明亮，杯底边缘有细密气泡，汤中可见细微悬浮物。
[33/200] a6ebeae36019.jpg: 其他 | 白色包装盒背面标签清晰展示2013年大益铂金方砖生茶信息，旁置九块深褐色、条索紧结且显金毫的紧压小方砖
[38/200] 3bfa285d42e8.jpg: 汤色 | 汤色呈红褐色，白瓷品茗杯中汤面明亮，杯底可见黑色碎屑。
[37/200] 411dd6f9fbea.jpg: 版面 | 印有黄色“云南七子饼茶”及红色“茶”字logo的棉纸包装。
[36/200] b09393afcc7a.jpg: 汤色 | 玻璃公道杯中盛有红浓透亮的茶汤。
[41/200] c5f93d0a2d9d.jpg: 版面 | 白底棉纸印有棕色纹饰，中央红圈烫金“岩”字及“子头”字样，右侧印有“八十华章 1941-2021”纪念
[43/200] 48ca6bb4f2e3.jpg: 汤色 | 白瓷品茗杯中盛有橙黄明亮的茶汤，边缘聚有细密气泡，汤面可见少许微粒。
[39/200] 42fa5e87f546.jpg: 汤色 | 白瓷品茗杯中盛有橙黄色茶汤，汤面明亮，杯内可见细小黑色悬浮物。
[44/200] b33d3b8f7925.jpg: 汤色 | 玻璃公道杯中茶汤呈橙黄色，透亮，表面有细密泡沫。
[40/200] ff87361d7058.jpg: 其他 | 白色外包装盒印有红色大益商标及“熊猫沱茶”字样，绿色内盒装有五粒白色棉纸包裹的沱茶。
[45/200] f47ab1160b46.jpg: 版面 | 白色棉纸印有绿色“南腊河早春乔木大饼”环形字样及中央叶片图案，下方标注净含量400克及“云南观自在茶业
[48/200] 759052ccd854.jpg: 饼背 | 灰白色棉纸包裹，收口处褶皱明显，透过纸背可见多处黑色茶叶碎屑。
[46/200] 6bfce78606d4.jpg: 饼背 | 米黄色棉纸背面印有昌泰茶业集团信息、条形码、净含量400克及2006年生产日期，下方叠放一张恒丰源19
[47/200] cd1fc243f088.jpg: 汤色 | 玻璃公道杯中茶汤呈橙黄色，清澈透亮，可见少许悬浮茶屑。
[42/200] e5a1aad3c2f7.jpg: 汤色 | 汤色呈橙黄明亮。
[49/200] a06741ee6047.jpg: 饼面 | 黑褐色茶饼条索紧结，中央嵌有印红色字样的白色方形内飞，表面覆盖少许干茶。
[50/200] e093b9d7a45c.jpg: 饼面 | 条索紧结，色泽深褐显毫，中间嵌有印有蓝色图案的内飞。
[51/200] cee7e383ec0b.jpg: 饼面 | 饼面条索紧结，色泽深褐，中央嵌有印着“班章”及“长条九九号”字样的白色内飞。
[52/200] 242f3df1cd5c.jpg: 汤色 | 白瓷品茗杯中茶汤呈红浓明亮，边缘环绕细小气泡。
[55/200] 42e5e61cce24.jpg: 汤色 | 白瓷品茗杯中盛有红褐明亮的茶汤，液面可见少量气泡。
[54/200] 294e4e38d026.jpg: 其他 | 深褐色紧压茶块堆叠，条索紧结，色泽黑褐。
[56/200] 70dcf2c81cbe.jpg: 版面 | 白底棉纸印有红色“海福今七子饼茶”及“二0一一年正春茶”字样，中央为墨绿色“福今茶业”印章，下方标注“
[53/200] c093f8c33c46.jpg: 汤色 | 白瓷品茗杯中盛有红浓明亮的茶汤，右侧边缘附着细密气泡。
[59/200] b8720eab1bd7.jpg: 叶底 | 白瓷碗内盛放泡开后的叶底，叶片呈深褐绿色，形态舒展。
[57/200] e67371d0cf26.jpg: 汤色 | 玻璃公道杯中茶汤呈红浓透亮，色泽深红褐，清晰映出室内倒影。
[58/200] 1d6dc5a2f96a.jpg: 汤色 | 白瓷品茗杯中茶汤红浓明亮，色泽深红泛褐，杯沿附着细小气泡。
[61/200] 4a64caee26cd.jpg: 汤色 | 白瓷品茗杯中茶汤呈橙红色，明亮，汤中可见悬浮的黑色茶碎。
[62/200] 50588223b67e.jpg: 汤色 | 玻璃公道杯中的茶汤呈深橙红色，透光见底，红浓透亮。
[60/200] 767f21b5ee30.jpg: 汤色 | 白瓷品茗杯中茶汤呈红浓明亮色泽。
[65/200] 2bf5a079c1ec.jpg: 饼面 | 茶饼呈深黑褐色，条索紧结，间杂少量黄梗。
[67/200] 308f158b1545.jpg: 汤色 | 玻璃公道杯中盛有橙黄透亮的茶汤。
[63/200] 807a681bc67a.jpg: 叶底 | 两堆黑褐色叶底平铺于白纸，叶片舒展，色泽深暗油润。
[69/200] 7a82246d6987.jpg: 其他 | 电子秤显示6.8g，木质茶则中盛放着黑褐色条索紧结的干茶。
[68/200] f3dd8d191773.jpg: 饼面 | 黑褐色紧压茶表面，条索紧结，夹杂少量黄白色茶梗。
[71/200] 7e0fc58382e1.jpg: 汤色 | 玻璃公道杯中的茶汤呈深橙色，表面带有少许气泡，质感透亮。
[66/200] d61bba3a45d2.jpg: 汤色 | 玻璃公道杯中茶汤呈深橙色，清澈透亮。
[64/200] b836ead17d32.jpg: 叶底 | 黑褐色叶底置于白瓷碗中，色泽油润，条索紧结。
[73/200] 47adda6ce4d5.jpg: 版面 | 黑色棉纸版面印有银灰色抽象虎纹图案，下方烫金“山青花燃”与“磅礴”字样及“2019普洱生茶”信息，左上
[70/200] d36a5b15199b.jpg: 汤色 | 玻璃公道杯中盛有深红明亮的茶汤，杯壁上部附着细密水珠。
[72/200] 1d77fd6a7634.jpg: 饼面 | 茶饼呈黑褐色，条索紧结，中央嵌有红边圆形内飞。
[75/200] 211913af8273.jpg: 饼面 | 黑褐色条索紧结的茶饼，饼面嵌有印着金色图案及“金色韵象”字样的白色内飞。
[74/200] 1fa13e82a10d.jpg: 版面 | 米白色棉纸印有棕色孔雀图案及“益”字标识与“贡茶”字样，外圈环绕繁体厂名及英文，纸面可见多处褐色茶渍及
